Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01 00:00:00-04:00,0.0,1.1106559621074117,1.104636180634537,1.107646107673645,74617,0.0,0.0
1972-06-02 00:00:00-04:00,1.110655350287533,1.125704977192778,1.110655350287533,1.1196850538253784,227645,0.0,0.0
1972-06-05 00:00:00-04:00,1.119684081565437,1.1211890429491522,1.1166743040084839,1.1166743040084839,96117,0.0,0.0
1972-06-06 00:00:00-04:00,1.116675460028944,1.1181804229706478,1.1106555356568142,1.1136654615402222,77146,0.0,0.0
1972-06-07 00:00:00-04:00,1.1091501698976194,1.1091501698976194,1.0941004753112793,1.0941004753112793,121411,0.0,0.0
1972-06-08 00:00:00-04:00,1.0941007086296661,1.100120631311125,1.0835661888122559,1.0835661888122559,328820,0.0,0.0
1972-06-09 00:00:00-04:00,1.0835659216780045,1.0835659216780045,1.076041110937908,1.0775460004806519,232704,0.0,0.0
1972-06-12 00:00:00-04:00,1.0775462661307968,1.0865759686397523,1.073031451178966,1.0835661888122559,182116,0.0,0.0
1972-06-13 00:00:00-04:00,1.0865755927471463,1.1016252127312585,1.0865755927471463,1.098615288734436,203616,0.0,0.0
1972-06-14 00:00:00-04:00,1.1016259032172175,1.1136654615402222,1.1016259032172175,1.1136654615402222,168204,0.0,0.0
1972-06-15 00:00:00-04:00,1.1136643086358151,1.1332287340188731,1.1136643086358151,1.1166743040084839,699376,0.0,0.0
1972-06-16 00:00:00-04:00,1.1166751563306305,1.1181801188630351,1.1121601961281231,1.1151701211929321,54382,0.0,0.0
1972-06-19 00:00:00-04:00,1.1151704741506563,1.1181804727734406,1.109150767326355,1.109150767326355,159351,0.0,0.0
1972-06-20 00:00:00-04:00,1.1106552335957187,1.1166751563306305,1.1106552335957187,1.1151701211929321,56911,0.0,0.0
1972-06-21 00:00:00-04:00,1.1151697922815584,1.1257045269012451,1.1151697922815584,1.1257045269012451,112558,0.0,0.0
1972-06-22 00:00:00-04:00,1.1257048589197636,1.1272096762415804,1.1151701211929321,1.1151701211929321,73352,0.0,0.0
1972-06-23 00:00:00-04:00,1.1151701309321602,1.1166751660830028,1.1046354657186193,1.1121602058410645,106234,0.0,0.0
1972-06-26 00:00:00-04:00,1.1145798766799817,1.1145798766799817,1.100968837738037,1.100968837738037,74617,0.035582,0.0
1972-06-27 00:00:00-04:00,1.1009688030694063,1.103993535041809,1.1009688030694063,1.103993535041809,118881,0.0,0.0
1972-06-28 00:00:00-04:00,1.1024816900292045,1.1024816900292045,1.0918953788360355,1.094920039176941,241556,0.0,0.0
1972-06-29 00:00:00-04:00,1.09189563175153,1.09189563175153,1.0873587131500244,1.0873587131500244,51852,0.0,0.0
1972-06-30 00:00:00-04:00,1.0873583057621674,1.0949198825721722,1.085845975808021,1.0918952226638794,322497,0.0,0.0
1972-07-03 00:00:00-04:00,1.0918950627691468,1.0964321249279159,1.0888705492252118,1.093407392501831,27823,0.0,0.0
